price_idr,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,cluster,pool,mrt,tol,mall,city_Jakarta Barat,city_Jakarta Pusat,city_Jakarta Selatan,city_Jakarta Timur,city_Jakarta Utara
21.311052502404085,pesanggrahan,3.0,2.0,2.0,4.795790545596741,4.394449154672439,0,0,0,0,0,0,0,1,0,0
22.654787248694554,tebet,4.0,4.0,4.0,4.343805421853684,5.929589143389895,0,0,0,0,0,0,0,1,0,0
23.025850930040455,kembangan,4.0,4.0,2.0,5.420534999272286,6.2166061010848646,0,0,0,0,0,1,0,0,0,0
21.161520768522728,kelapa gading,3.0,2.0,0.0,4.110873864173311,4.110873864173311,0,0,0,0,0,0,0,0,0,1
21.787976574283668,kelapa gading,4.0,4.0,0.0,4.634728988229636,4.634728988229636,0,0,0,0,0,0,0,0,0,1
21.947041268862645,duren sawit,3.0,2.0,4.0,4.663439094112067,4.6913478822291435,1,0,0,0,0,0,0,0,1,0
21.716517610327063,ciracas,5.0,4.0,4.0,4.59511985013459,4.812184355372417,0,0,0,0,0,0,0,0,1,0
25.308233315627188,menteng,7.0,5.0,6.0,6.779921907472252,6.90875477931522,0,0,0,0,0,0,1,0,0,0
22.86333200056033,cempaka putih,5.0,3.0,2.0,5.993961427306569,6.133398042996649,0,0,0,0,0,0,1,0,0,0
21.416413018006356,pasar minggu,3.0,2.0,2.0,4.110873864173311,4.454347296253507,1,0,0,0,0,0,0,1,0,0
23.025850930040455,kebayoran lama,6.0,5.0,2.0,5.37989735354046,5.860786223465865,0,0,0,0,0,0,0,1,0,0
23.85876005291904,mampang prapatan,12.0,5.0,9.0,6.957497370876951,6.68586094706836,0,0,0,0,0,0,0,1,0,0
20.9055873945737,jagakarsa,2.0,1.0,2.0,4.672828834461906,4.189654742026425,0,0,0,0,0,0,0,1,0,0
23.83678114620123,kebayoran baru,5.0,4.0,3.0,5.905361848054571,6.2166061010848646,0,0,0,0,0,0,0,1,0,0
22.64018844927553,kebayoran lama,5.0,4.0,2.0,5.043425116919247,5.303304908059076,0,0,0,0,0,0,0,1,0,0
23.148068562753203,cilandak,6.0,4.0,2.0,6.284134161070802,6.398594934535208,0,0,0,0,0,0,0,1,0,0
21.465203182151978,kebayoran lama,4.0,5.0,1.0,4.1588830833596715,5.0689042022202315,0,0,0,0,0,0,0,1,0,0
21.59873457471698,kebayoran lama,5.0,4.0,1.0,4.1588830833596715,5.075173815233827,0,0,0,0,0,0,0,1,0,0
22.77738957077016,cilandak,7.0,5.0,3.0,5.707110264748875,5.993961427306569,0,0,0,0,0,0,0,1,0,0
23.025850930040455,kebayoran baru,4.0,4.0,3.0,5.730099782973574,5.8888779583328805,0,0,0,0,0,0,0,1,0,0
22.654787248694554,mampang prapatan,4.0,4.0,4.0,4.343805421853684,5.929589143389895,0,0,0,0,0,0,0,1,0,0
21.976028805727495,tebet,5.0,4.0,2.0,4.9344739331306915,5.5254529391317835,0,0,0,0,0,0,0,1,0,0
21.416413018006356,jagakarsa,3.0,2.0,2.0,4.110873864173311,4.454347296253507,1,0,0,0,0,0,0,1,0,0
23.208172486817745,kebayoran baru,5.0,7.0,5.0,5.869296913133774,6.7464121285733745,0,0,0,0,0,0,0,1,0,0
24.173253382809744,mampang prapatan,4.0,3.0,5.0,7.8713112033234065,5.993961427306569,0,0,0,0,0,0,0,1,0,0
24.36085199669911,mampang prapatan,6.0,6.0,10.0,6.249975242259483,6.634633357861686,0,0,0,0,0,0,0,1,0,0
22.227343233944907,pasar minggu,5.0,5.0,3.0,5.198497031265826,5.5254529391317835,0,0,0,0,1,0,0,1,0,0
24.386827483101698,kebayoran baru,4.0,4.0,6.0,6.0014148779611505,6.7464121285733745,0,0,0,0,0,0,0,1,0,0
24.594466847875136,mampang prapatan,9.0,6.0,22.0,7.766840537085513,6.90875477931522,0,0,0,0,0,0,0,1,0,0
23.272711007950107,cilandak,4.0,4.0,6.0,6.246106765481563,5.993961427306569,0,0,0,0,0,0,0,1,0,0
22.15835036247383,tebet,5.0,3.0,2.0,4.897839799950911,5.303304908059076,0,0,0,0,0,0,0,1,0,0
24.594466847875136,kebayoran baru,4.0,4.0,6.0,5.916202062607435,6.698268054115413,0,0,0,0,0,0,0,1,0,0
21.752885254484713,tebet,5.0,5.0,2.0,5.209486152841421,5.5254529391317835,0,0,0,0,0,0,0,1,0,0
21.416413018006356,cilandak,3.0,2.0,2.0,4.110873864173311,4.454347296253507,1,0,0,0,0,0,0,1,0,0
23.767788274717454,cilandak,5.0,5.0,5.0,6.890609120147166,6.478509642208569,0,0,0,0,0,0,0,1,0,0
23.55647918106145,kebayoran baru,6.0,4.0,0.0,6.013715156042802,5.707110264748875,0,0,0,0,0,0,0,1,0,0
21.57768116552801,jagakarsa,5.0,4.0,0.0,4.3694478524670215,5.303304908059076,1,0,0,1,0,0,0,1,0,0
22.654787248694554,kebayoran baru,4.0,4.0,4.0,4.343805421853684,5.929589143389895,0,0,0,0,0,0,0,1,0,0
22.312501042267073,jagakarsa,5.0,8.0,3.0,4.852030263919617,5.8888779583328805,0,0,0,0,0,0,0,1,0,0
23.743690723139554,kebayoran baru,4.0,3.0,4.0,5.993961427306569,6.2166061010848646,0,0,0,0,0,0,0,1,0,0
22.711140185237742,kebayoran lama,4.0,4.0,0.0,4.795790545596741,5.303304908059076,0,0,0,0,0,0,0,1,0,0
24.18900173977739,kebayoran lama,5.0,6.0,8.0,6.453624998892692,6.580639137284949,0,0,0,0,0,0,0,1,0,0
22.98502893552437,kebayoran lama,7.0,5.0,3.0,5.552959584921617,5.860786223465865,0,0,0,0,0,0,0,1,0,0
24.594466847875136,kebayoran lama,8.0,8.0,10.0,7.114769448366463,6.748759547491679,0,0,0,0,0,0,0,1,0,0
21.247994366473108,jagakarsa,5.0,4.0,2.0,4.418840607796598,5.081404364984463,0,0,0,0,0,0,0,1,0,0
23.191365368502776,mampang prapatan,3.0,3.0,6.0,6.546785410760524,5.786897381366708,0,0,0,0,0,0,0,1,0,0
23.46410586093613,setiabudi,8.0,5.0,4.0,5.971261839790462,6.0112671744041615,0,0,0,0,0,0,0,1,0,0
23.49585455924869,kebayoran lama,5.0,5.0,3.0,5.978885764901122,5.993961427306569,0,0,0,0,0,0,0,1,0,0
23.693680302567394,mampang prapatan,4.0,3.0,4.0,6.0867747269123065,6.0063531596017325,0,1,0,0,0,0,0,1,0,0
23.7189981105504,kebayoran baru,3.0,3.0,4.0,6.826545223556594,6.421622267806518,0,0,0,0,0,0,0,1,0,0
23.641036569084743,mampang prapatan,7.0,5.0,6.0,6.943122422819428,6.55250788703459,0,0,0,0,0,0,0,1,0,0
24.18900173977739,kebayoran baru,8.0,5.0,7.0,6.556778356158042,6.2166061010848646,0,0,0,0,0,0,0,1,0,0
24.730599022197065,mampang prapatan,2.0,2.0,21.0,8.622633703874234,6.90875477931522,0,0,0,0,0,0,0,1,0,0
21.416413018006356,pasar minggu,3.0,2.0,2.0,4.110873864173311,4.454347296253507,0,0,0,0,0,0,0,1,0,0
23.49585455924869,kebayoran baru,4.0,4.0,10.0,6.802394763324311,6.148468295917647,1,0,0,0,0,0,0,1,0,0
22.409664790701825,kebayoran lama,4.0,2.0,1.0,5.220355825078324,4.836281906951478,0,0,0,0,0,0,0,1,0,0
22.53155460828961,kebayoran lama,4.0,3.0,2.0,5.049856007249537,5.049856007249537,0,0,0,0,0,0,0,1,0,0
21.821878125947855,jagakarsa,3.0,3.0,2.0,4.110873864173311,4.852030263919617,1,0,0,0,0,0,0,1,0,0
25.060556577791974,kebayoran baru,7.0,5.0,4.0,6.870053411798126,6.7226297948554485,0,0,0,0,0,0,0,1,0,0
22.59506801400185,kebayoran lama,4.0,3.0,2.0,5.293304824724492,5.017279836814924,0,0,0,0,0,0,0,1,0,0
21.787976574283668,jagakarsa,4.0,4.0,2.0,5.049856007249537,5.303304908059076,0,0,0,0,0,0,0,1,0,0
22.302244542101988,kebayoran lama,5.0,4.0,2.0,4.997212273764115,5.484796933490655,0,0,0,0,0,0,0,1,0,0
23.102811971169178,kebayoran lama,4.0,4.0,3.0,5.560681631015528,6.2166061010848646,0,0,0,0,0,0,0,1,0,0
23.85876005291904,jagakarsa,9.0,7.0,8.0,6.55250788703459,6.880384082186005,0,0,0,0,1,0,0,1,0,0
21.821878125947855,pasar minggu,3.0,3.0,2.0,4.110873864173311,4.852030263919617,0,0,0,0,0,0,0,1,0,0
22.654787248694554,kebayoran lama,4.0,4.0,4.0,4.343805421853684,5.929589143389895,0,0,0,0,0,0,0,1,0,0
23.208172486817745,cilandak,5.0,5.0,5.0,6.175867270105761,6.523562306149512,0,0,0,0,0,0,0,1,0,0
23.880266258139077,kebayoran lama,5.0,5.0,6.0,6.621405651764134,6.447305862541213,0,0,0,0,0,0,0,1,0,0
22.802707378751247,jagakarsa,5.0,4.0,3.0,6.398594934535208,5.303304908059076,0,0,0,0,0,0,0,1,0,0
23.55647918106145,mampang prapatan,4.0,4.0,1.0,7.00397413672268,5.993961427306569,0,0,0,0,0,0,0,1,0,0
22.33270374958051,kebayoran lama,5.0,4.0,2.0,4.997212273764115,5.484796933490655,0,0,0,0,0,0,0,1,0,0
21.854667948760092,tebet,3.0,3.0,2.0,4.624972813284271,4.875197323201151,0,0,0,0,0,0,0,1,0,0
22.428013929366653,cilandak,6.0,4.0,2.0,5.575949103146316,5.860786223465865,0,0,0,0,0,0,0,1,0,0
21.416413018006356,cilandak,3.0,2.0,2.0,4.110873864173311,4.454347296253507,0,0,0,0,0,0,0,1,0,0
21.821878125947855,pasar minggu,3.0,3.0,2.0,4.110873864173311,4.852030263919617,1,0,0,0,1,0,0,1,0,0
22.104547656494013,cilandak,5.0,4.0,1.0,5.303304908059076,5.5254529391317835,0,0,0,0,0,0,0,1,0,0
21.416413018006356,jagakarsa,3.0,2.0,2.0,4.110873864173311,4.454347296253507,0,0,0,0,0,0,0,1,0,0
22.654787248694554,kebayoran lama,4.0,4.0,4.0,4.343805421853684,5.929589143389895,0,0,0,0,0,0,0,1,0,0
24.18900173977739,kebayoran lama,6.0,6.0,6.0,6.453624998892692,6.580639137284949,0,1,0,0,0,0,0,1,0,0
21.311052502404085,pasar minggu,3.0,2.0,2.0,5.697093486505405,4.709530201312334,0,0,0,0,0,0,0,1,0,0
24.306784775430298,kebayoran lama,5.0,6.0,4.0,6.453624998892692,6.580639137284949,0,0,0,0,0,0,0,1,0,0
22.654787248694554,kebayoran baru,4.0,4.0,4.0,4.343805421853684,5.929589143389895,0,0,0,0,0,0,0,1,0,0
24.594466847875136,kebayoran baru,5.0,4.0,5.0,6.504288173536645,6.68586094706836,0,0,0,0,0,0,0,1,0,0
23.526626217913552,kebayoran baru,4.0,3.0,4.0,5.814130531825066,5.993961427306569,0,0,0,0,0,0,0,1,0,0
24.41214529108535,kebayoran baru,18.0,20.0,12.0,6.371611847231857,7.0909098220799835,0,0,0,0,0,0,0,1,0,0
24.05547034715733,mampang prapatan,3.0,4.0,14.0,7.20414929203594,6.2166061010848646,0,0,0,0,0,0,0,1,0,0
25.065771713471012,kebayoran baru,3.0,2.0,4.0,6.507277712385012,5.860786223465865,0,0,0,0,0,0,0,1,0,0
25.211902206689786,kebayoran lama,8.0,8.0,15.0,7.776115477098742,7.901377353792616,0,0,0,0,0,0,0,1,0,0
23.79131877212654,kebayoran baru,5.0,4.0,2.0,5.831882477283517,6.2166061010848646,0,0,0,0,0,0,0,1,0,0
23.431316038115288,mampang prapatan,5.0,4.0,8.0,7.050989447068045,6.90875477931522,0,0,0,0,0,0,0,1,0,0
23.25696265098321,kebayoran lama,2.0,2.0,2.0,5.707110264748875,5.017279836814924,0,0,0,0,0,0,0,1,0,0
24.6935577505174,kebayoran lama,6.0,5.0,8.0,6.9985096422506015,7.0909098220799835,0,0,0,0,0,0,0,1,0,0
25.377226187113457,kebayoran baru,5.0,5.0,6.0,6.704414354964107,6.2166061010848646,0,0,0,0,0,0,0,1,0,0
22.942469321110103,tebet,6.0,5.0,4.0,5.579729825986222,5.860786223465865,0,0,0,0,0,0,0,1,0,0
22.995391722558843,tebet,6.0,6.0,2.0,5.37989735354046,5.916202062607435,0,1,0,0,0,0,0,1,0,0
23.585466717933024,tebet,4.0,3.0,0.0,6.416732282512326,5.993961427306569,0,0,0,0,0,0,0,1,0,0
22.654787248694554,tebet,4.0,4.0,4.0,4.343805421853684,5.929589143389895,0,0,0,0,0,0,0,1,0,0
22.648973278829978,pasar minggu,4.0,3.0,0.0,6.2166061010848646,5.860786223465865,0,0,0,1,0,0,0,1,0,0
22.146374171429983,jagakarsa,5.0,4.0,0.0,5.43372200355424,5.7745515455444085,0,0,0,1,0,0,0,1,0,0
21.923230620176014,cilandak,4.0,3.0,0.0,4.663439094112067,5.293304824724492,0,0,0,0,0,0,0,1,0,0
23.272711007950107,cilandak,5.0,5.0,4.0,6.246106765481563,5.993961427306569,0,0,1,0,0,0,0,1,0,0
23.55647918106145,kebayoran lama,5.0,4.0,4.0,6.073044534100405,5.707110264748875,0,0,0,0,0,0,0,1,0,0
22.227343233944907,cilandak,4.0,3.0,2.0,5.303304908059076,5.860786223465865,0,0,0,0,0,0,0,1,0,0
21.821878125947855,cilandak,3.0,3.0,2.0,4.110873864173311,4.852030263919617,0,0,0,0,0,0,0,1,0,0
