title,price_idr,city,district,bedrooms,bathrooms,garage,land_size_m2,building_size_m2,scraped_at
Rumah Hook 2 Lantai Furnished di Garden House Pantai Indah Kapuk 2,7500000000.0,Jakarta Utara,Pantai Indah Kapuk 2,2.0,2.0,,195.0,273.0,2026-04-28T06:08:08.760925+00:00
Rumah di Gading Pandawa Semi Furnished Jakarta Utara,3800000000.0,Jakarta Utara,Kelapa Gading,3.0,3.0,2.0,120.0,172.0,2026-04-28T06:08:11.843081+00:00
The Vilas Moi Rumah Atas Mal,3600000000.0,Jakarta Utara,Kelapa Gading,5.0,4.0,3.0,152.0,242.0,2026-04-28T06:08:14.385118+00:00
Murah!!! Dijual Rumah Bagus di Janur Elok Kelapa Gading,3950000000.0,Jakarta Utara,Kelapa Gading,4.0,4.0,,102.0,225.0,2026-04-28T06:08:17.560595+00:00
Murah Rumah Dijual Cepat Rumah Gading Parkview Kelapa Gading,5800000000.0,Jakarta Utara,Kelapa Gading,5.0,4.0,,180.0,180.0,2026-04-28T06:08:20.257477+00:00
"Kelapa Lilin 8X20, 2Lantai,Shm, Murah",3900000000.0,Jakarta Utara,Kelapa Gading,5.0,4.0,2.0,160.0,300.0,2026-04-28T06:08:22.235248+00:00
"Rumah Denver 6X12,5, Pik 2, Depan Taman, Murah",2200000000.0,Jakarta Utara,Pantai Indah Kapuk 2,3.0,2.0,,72.0,100.0,2026-04-28T06:08:24.601574+00:00
"Rumah Kenari Pik 8X15, ,Rapi, dan Siap Hun",4500000000.0,Jakarta Utara,Pantai Indah Kapuk,3.0,3.0,,120.0,150.0,2026-04-28T06:08:26.588240+00:00
Murah !! Dijual Rumah Mewah Luas 220 Semi Furnish di The Villas Moi Diatas Mall,3690000000.0,Jakarta Utara,Kelapa Gading,4.0,4.0,3.0,200.0,450.0,2026-04-28T06:08:34.391066+00:00
"Rumah 2 Lantai Murah Nego, Dekat Mall Janur Elok Kelapa Gading",4300000000.0,Jakarta Utara,Kelapa Gading,5.0,4.0,2.0,153.0,157.0,2026-04-28T06:08:37.307327+00:00
Dijual Cepat Rumah Murah Siap Huni di Sunter Garden,2400000000.0,Jakarta Utara,Sunter,4.0,3.0,2.0,84.0,90.0,2026-04-28T06:08:39.951831+00:00
Turun Jauh Dibawah Harga Pasar!!! Rumah Sunter Danau Siap Huni,12500000000.0,Jakarta Utara,Sunter,4.0,4.0,10.0,640.0,300.0,2026-04-28T06:08:42.985944+00:00
Rumah Mewah di Grisenda Pik Ada Pool,11900000000.0,Jakarta Utara,Taman Grisenda,6.0,6.0,4.0,290.0,900.0,2026-04-28T06:08:46.373750+00:00
Rumah Bagus 3 Lantai Furnished di Sunter,2600000000.0,Jakarta Utara,Sunter,5.0,3.0,,115.0,270.0,2026-04-28T06:08:48.832916+00:00
Rumah Golf Island Siganture Uk 10X20 (3 Lantai) Murah Siap Huni,8900000000.0,Jakarta Utara,Golf Island,4.0,5.0,3.0,200.0,311.0,2026-04-28T06:08:51.076548+00:00
Rumah Full Interior Mewah,4500000000.0,Jakarta Utara,Kelapa Gading,5.0,4.0,1.0,245.0,245.0,2026-04-28T06:08:53.733467+00:00
Murah!! Rumah Sunter Hoek Harga NJOP Jual Cepat,16000000000.0,Jakarta Utara,Sunter,8.0,5.0,4.0,600.0,390.0,2026-04-28T06:09:01.306819+00:00
"Dijual Rumah Modern, Harga NJOP, HGB, Strategis, Bagus,",11900000000.0,Jakarta Utara,Sunter,6.0,6.0,2.0,391.0,475.0,2026-04-28T06:09:06.186373+00:00
Murah !! Dijual Rumah Janur 6X17 Jalanan 3 Mobil,2790000000.0,Jakarta Utara,Kelapa Gading,4.0,4.0,2.0,102.0,170.0,2026-04-28T06:09:09.063251+00:00
"Rumah Mewah 2 Lantai Fully Furnished di Kelapa Gading Sedayu City, 8X12,5M2, 100M2 Siap Huni!",5270000000.0,Jakarta Utara,Kelapa Gading,4.0,2.0,,100.0,142.0,2026-04-28T06:09:11.817525+00:00
Rumah Bagus Di Sunter,3250000000.0,Jakarta Utara,Sunter,4.0,3.0,,66.0,130.0,2026-04-28T06:09:15.349301+00:00
Pluit Karang Manis Vqhg+P43,7300000000.0,Jakarta Utara,Muara Karang,5.0,4.0,3.0,300.0,600.0,2026-04-28T06:09:18.139680+00:00
"Dijual Cepat Rumah Harga Bawah Pasaran di Pademangan!! Nego Sampai Deal4 Lantai Luas 200M2 Hanya 2,5 Miliar!! Sangat Strategis!! Jakut",2500000000.0,Jakarta Utara,Pademangan,6.0,3.0,2.0,75.0,200.0,2026-04-28T06:09:21.722307+00:00
Jual Cepat Rumah Mewah Kelapa Gading Luas 400 Meter,9500000000.0,Jakarta Utara,Kelapa Gading,4.0,3.0,4.0,406.0,201.0,2026-04-28T06:09:23.744857+00:00
Jual Rumah Mewah Pluit Sakti Luas 235M2 Renov 3.5 Lantai,8500000000.0,Jakarta Utara,Pluit,8.0,9.0,,235.0,600.0,2026-04-28T06:09:26.116498+00:00
Rumah Bagus Lebar 7 di Komplek Sunter Nego Sampai Deal,3500000000.0,Jakarta Utara,Sunter,4.0,4.0,2.0,105.0,210.0,2026-04-28T06:09:29.109330+00:00
Murah!! Dijual Rumah Rapi 2 Lantai di Kelapa Gading,2200000000.0,Jakarta Utara,Kelapa Gading,4.0,4.0,2.0,105.0,200.0,2026-04-28T06:09:31.673931+00:00
Town House Furnised Siap Huni Ancol Mansion,6000000000.0,Jakarta Utara,Ancol,4.0,4.0,2.0,160.0,280.0,2026-04-28T06:09:34.552109+00:00
Dijual Cepat Rumah Jl Raya Kawasan Pluit Jak-Ut,9000000000.0,Jakarta Utara,Pluit,7.0,5.0,4.0,235.0,600.0,2026-04-28T06:09:38.118588+00:00
Jarang Ada Rumah Pik2luas 10X20 Fully Furnished,12500000000.0,Jakarta Utara,Pantai Indah Kapuk 2,4.0,4.0,2.0,200.0,300.0,2026-04-28T06:09:41.659174+00:00
Turun Harga Rumah Sunter Danau 1.2Lantai.rapi.siap Huni,12500000000.0,Jakarta Utara,Sunter,4.0,4.0,10.0,640.0,300.0,2026-04-28T06:09:44.916014+00:00
Rumah 3 Lantai Sunter Mediterania.siap Huni.dekat Aksea Tol,3850000000.0,Jakarta Utara,Sunter,5.0,4.0,1.0,120.0,240.0,2026-04-28T06:09:47.790646+00:00
Rumah Minimalis Cluster 2 Lantai 8X25 Meter Jalan Akses 3 Mobil di Sedayu City Kelapa Gading Jakarta Utara,6800000000.0,Jakarta Utara,Kelapa Gading,6.0,5.0,2.0,200.0,370.0,2026-04-28T06:09:51.186946+00:00
Premium House3.lantai di Sunter Paradise.siap Huni.full Furnished.posisi Hoek,8900000000.0,Jakarta Utara,Sunter,5.0,6.0,3.0,180.0,400.0,2026-04-28T06:09:54.762930+00:00
"Rumah Mewah Sunter 30X30,5 Marmer Ada Kolam Renang, Lift, Gym, Jacuzzi",70000000000.0,Jakarta Utara,Sunter,9.0,9.0,11.0,915.0,1950.0,2026-04-28T06:09:57.480026+00:00
Rumah Mewah Sanur Bgv Kelapa Gading Ada Kolam Renang Pribadi,35000000000.0,Jakarta Utara,Kelapa Gading,6.0,6.0,,504.0,700.0,2026-04-28T06:10:00.235611+00:00
"Rumah Cantik Minimalis 1,5 Lantai Dalam Kompleks Di Sunter Jakut",3300000000.0,Jakarta Utara,Sunter,5.0,4.0,,144.0,160.0,2026-04-28T06:10:02.795579+00:00
Dijual Cepat Rumah di Villa Permata Gading Kelapa Gading Jakarta Utara,5950000000.0,Jakarta Utara,Kelapa Gading,5.0,4.0,2.0,220.0,400.0,2026-04-28T06:10:08.651036+00:00
Rumah Minimalis 2 Lntai Lokasi Dekat Tol Tj Priok,865000000.0,Jakarta Utara,Koja,2.0,2.0,2.0,38.0,51.0,2026-04-28T06:10:10.481148+00:00
Bukit Nirmala Pik2brand New D Jual L6 Cm 2Man Bs KPR,2490000000.0,Jakarta Utara,Pantai Indah Kapuk 2,2.0,2.0,2.0,75.0,90.0,2026-04-28T06:10:13.113949+00:00
"Dijual Rumah Hoek Jalan Janur Indah, Kelapa Gading",12000000000.0,Jakarta Utara,Kelapa Gading,4.0,4.0,2.0,306.0,364.0,2026-04-28T06:10:16.606299+00:00
Dijual Rumah Bagus Pluit Murni Bebas Banjir Jakarta Utara,4650000000.0,Jakarta Utara,Pluit,4.0,4.0,4.0,140.0,350.0,2026-04-28T06:10:19.114043+00:00
"Dijual Rumah Hawaii di Pik 2 (109M2), Sudah Renovasi 2 Bedroom",4300000000.0,Jakarta Utara,Pantai Indah Kapuk 2,2.0,3.0,2.0,109.0,185.0,2026-04-28T06:10:21.794802+00:00
Rumah Mewah Strategis Under 2M Disunter Kirana Jakarta Utara SHM,1110000000.0,Jakarta Utara,Sunter,3.0,2.0,2.0,38.0,70.0,2026-04-28T06:10:23.862914+00:00
Rumah Huk Sunter,6900000000.0,Jakarta Utara,Sunter,3.0,3.0,3.0,270.0,380.0,2026-04-28T06:10:27.297444+00:00
Rumah Villa Pasir Putih Pik 2 10X20 4+1Kt Fasad American Classic,8000000000.0,Jakarta Utara,Pantai Indah Kapuk 2,5.0,4.0,2.0,200.0,274.0,2026-04-28T06:10:29.792208+00:00
